Reference AGB,RF-predicted AGB
204,144.5825333
168,211.3276
153,128.5947667
83,99.10566667
150,195.022
179,194.4901333
187,157.5326
220,191.0488667
184,138.8795333
181,163.4522667
192,221.3462
193,197.0408667
172,145.6271667
191,174.5050333
103,137.5359667
239,201.1205
185,149.6952667
181,192.5946667
108,148.3553667
231,156.8394
150,135.4735667
202,176.1249667
123,136.2459
164,155.8683
141,147.9799667
206,163.2536667
149,141.9426667
62,66.2352
122,112.8370667
135,138.3311
111,95.74933333
65,100.7843333
109,111.0427333
106,111.2721667
141,131.5511667
186,187.0804333
92,108.8000333
165,127.2277
154,170.7205667
166,103.3070333
126,135.2650667
95,101.3143333
157,75.24363333
79,109.0845
95,141.1670333
93,68.49946667
233,131.2432
65,85.51803333
126,121.7571667
128,137.3232
129,104.1714667
160,163.5070333
124,114.0421667
86,67.41413333
107,83.1609
108,104.2129667
130,109.0795333
160,143.4559333
72,76.63073333
105,101.2020667
152,94.4968
49,85.709
89,82.01146667
91,86.46456667
117,120.5952
99,142.2067333
118,95.81833333
31,89.1264
63,108.7429333
111,76.29283333
89,82.7196
156,131.4659333
96,61.79576667
64,65.5743
83,85.25813333
93,90.36453333
82,115.7567333
102,90.32576667
94,110.2446333
95,131.7702333
91,96.7437
94,84.9588
202,195.8648667
105,79.45046667
99,106.7301333
76,83.03296667
58,65.43006667
90,85.59486667
105,104.8534667
78,86.8675
41,131.8591667
143,82.50983333
55,95.697
60,82.7656
77,90.8139
118,124.2699333
111,119.4363
110,85.10153333
94,85.4442
96,135.2885
110,82.77916667
143,141.0862667
56,73.30273333
96,68.49013333
68,76.86063333
60,85.72386667
79,86.5178
53,81.08323333
62,52.4323
135,144.0316333
83,64.29153333
109,130.4240667
77,85.99246667
29,95.47686667
67,81.05693333
96,101.2176333
82,80.3772
63,85.29716667
100,131.0892667
123,135.3438333
57,64.52403333
66,68.34583333
102,115.9695333
150,122.3509333
92,70.30166667
118,124.4495667
45,71.98626667
109,108.7922333
120,131.4576667
88,90.46463333
123,111.3810667
34,63.09063333
123,114.1590333
244,191.3065333
132,146.4961667
171,157.4772333
191,209.2170667
213,193.3477
226,186.6513
126,128.2606667
235,131.8378333
121,96.6535
137,116.6428667
70,90.97663333
149,160.9964667
194,180.0680333
107,132.7617333
104,104.0839333
174,181.7332
149,153.7089333
189,171.8115667
160,136.3735
160,105.4753333
175,211.2787
249,217.3416333
138,138.4423333
128,173.0903333
137,92.9282
102,159.3600667
236,241.3199667
157,153.4864
172,145.1436667
163,161.6519333
137,118.7120667
183,188.8834
174,120.9669333
270,236.3675333
134,156.8428
188,173.4778
174,208.2435667
169,215.9416667
143,131.5023333
176,121.9478667
168,68.67413333
204,133.2962667
209,179.2071333
181,151.0598
190,184.0296333
184,177.4890333
147,166.8671
233,188.706
181,153.5181
146,155.0997
160,162.3757333
244,220.8809667
189,134.2612333
66,110.6867
19,160.3539333
32,123.6020333
156,136.4088333
139,152.2618
117,188.7764667
122,113.4185
37,65.67546667
129,146.9077667
29,140.3889
119,133.5945667
158,167.5613667
130,155.1972667
63,73.5688
63,98.26546667
73,92.18686667
110,108.1314667
101,69.69516667
143,72.40903333
111,134.1154
166,134.4021667
140,62.80073333
219,89.16783333
143,89.99876667
99,70.81736667
108,80.16906667
128,91.52596667
104,95.9163
137,129.6234333
150,128.9131667
150,98.75573333
129,126.6821667
129,129.9806333
129,131.8609
138,145.8328333
115,86.11613333
168,76.9955
182,73.46893333
137,139.4247
172,120.4770667
141,147.4757333
156,94.03596667
146,108.6935333
125,107.9832667
104,148.6918
188,72.82383333
157,126.3035
58,75.74623333
199,118.6682667
138,137.9092333
120,88.89503333
168,126.3391333
93,84.60333333
148,133.2002333
256,101.2097
136,142.6057667
170,164.0504
83,128.2713667
65,114.6141333
61,101.8035
206,203.3664
134,138.0017667
121,132.2085667
202,179.6237
35,88.8848
147,90.1307
132,106.0456667
161,70.19386667
142,125.9341667
99,109.9639667
124,141.9458667
141,144.4682333
120,77.82023333
133,145.6380333
30,193.3368333
91,116.8589667
61,143.2371
136,137.4261667
85,137.7674333
151,148.1565667
113,135.5566
101,65.34356667
102,169.6204
46,130.7343
188,155.3267667
124,142.1335333
149,206.8330667
110,114.0371333
137,131.4457333
145,183.3751
122,170.1176
184,199.6123333
170,135.5535333
20,133.3713667
48,88.17756667
146,92.10196667
77,123.5781333
65,149.8094
108,126.2502333
115,87.9614
23,128.0533
45,185.0951667
94,108.6386
168,128.3952
167,160.6609
33,184.6176
107,133.8715667
25,74.6154
78,149.8264333
14,72.58136667
54,165.6125667
159,177.4902667
65,75.175
123,133.6562333
85,77.73616667
98,119.4292333
75,96.3949
94,110.044
169,173.6942667
57,130.5105667
71,157.4499
192,149.1798
45,86.52283333
31,64.51826667
66,76.35413333
181,119.4712667
76,69.07346667
80,79.7213
19,110.8415
20,49.036
21,90.61
63,94.9808
131,103.2305333
84,92.10566667
59,71.2317
72,79.46486667
94,122.2954333
89,98.63423333
80,80.39496667
148,99.23366667
99,107.3787333
89,83.9289
94,88.4629
75,49.39076667
54,91.27823333
50,66.41966667
70,68.6016
86,82.6236
122,78.23953333
80,81.53413333
72,69.09253333
114,95.08343333
113,65.12196667
51,62.503
111,84.66346667
68,87.73616667
101,92.81616667
87,85.1404
24,108.9817
119,97.5654
110,104.3853667
71,77.2654
104,89.06306667
101,100.1688333
91,84.409
81,105.3916
62,87.2937
129,100.0540333
109,85.68586667
137,90.6957
49,73.10463333
104,107.4832333
109,130.0967333
118,111.6667333
43,120.1058333
168,124.8597333
115,110.5463667
33,89.06696667
147,129.2519333
41,87.82046667
74,103.2111333
140,64.18383333
102,77.27373333
73,73.5389
91,88.11096667
84,65.07806667
85,79.88523333
147,74.4545
78,95.96426667
59,72.34863333
29,89.2727
112,65.1165
129,97.83646667
88,99.66263333
73,70.85993333
115,134.8417333
48,74.0093
129,88.20656667
53,59.02613333
87,90.8996
39,52.64966667
92,104.1625
